distance,duration,lat,lon
13036,2146,18.5010763613,73.9376064017
3947,721,18.4685191794,73.8889222965
26929,3209,18.5624799096,73.7838903442
13095,2142,18.457790185,73.805558905
6477,1174,18.4790096472,73.9017207921
4498,895,18.4706323341,73.8860771433
15678,2505,18.5364336444,73.9103035256
14809,2365,18.459018088900002,73.7867066637
16673,2754,18.5348941322,73.83256874979999
26442,3354,18.5552843121,73.79811812189999
26488,4100,18.591531,73.803543
11805,2010,18.50381632,73.92599095
15937,2561,18.5103166429,73.8161040097
25370,3696,18.59386,73.786057
6446,1276,18.4412687601,73.8601891324
16946,2818,18.5504268977,73.9393766597
16848,2658,18.5065227288,73.8185300678
7993,1413,18.495832042,73.9001158252
23531,3575,18.6020335866,73.8169623166
14015,2331,18.5192359681,73.9315013587
24271,3524,18.5882523991,73.7829254195
24550,3031,18.5428423547,73.7879428267
6163,1262,18.4505249866,73.857796602
14844,2353,18.4869499725,73.8168784976
31260,4310,18.6652177008,73.7763804942
15031,2409,18.502828565399998,73.8289370388
16269,2607,18.508882131700002,73.812414296
15916,2558,18.5102403394,73.8159286603
11716,2001,18.4701473762,73.8234579563
7286,1436,18.4561342022,73.85324086989999
26458,4014,18.633183957,73.8148943335
9843,1719,18.5153268461,73.8738740981
13859,2527,18.498361061500002,73.9620091394
13752,2076,18.4843447875,73.8008278236
13684,2218,18.5056499863,73.833235614
20985,3248,18.5563401982,73.7943455949
13200,2292,18.5100797841,73.9279584959
17169,2751,18.5075725574,73.80837254229999
25524,3820,18.594065,73.802077
32033,3728,18.5987787365,73.7699998543
30196,3661,18.577587,73.784147
19991,2540,18.5195745467,73.7685799599
30374,3362,18.598019908599998,73.7597340345
35366,3872,18.624918099600002,73.77620749180001
31663,3448,18.586605306099997,73.7367833778
25564,3825,18.594995,73.803904
6092,1088,18.4867315238,73.8882128522
16623,2609,18.5037296192,73.8083983585
22997,3567,18.6026262086,73.9290746301
14516,2442,18.5195007324,73.9380111694
28033,3170,18.5742244281,73.7725834921
33617,3770,18.595674766,73.78855973479999
10466,1834,18.4975766688,73.85396506640001
17144,2852,18.5499882552,73.9411831275
25446,3844,18.5981403426,73.8041255996
11778,2001,18.503605,73.925923
24644,3744,18.596382760999997,73.8087725267
14470,2460,18.526405426700002,73.8430327177
26643,3866,18.6303503481,73.82248699670001
15876,2550,18.510138283499998,73.8156168535
32685,3663,18.5989535079,73.77456128600001
25466,3808,18.5945633,73.8021242
16312,2639,18.5326177394,73.83409626779999
20586,3225,18.5605735301,73.804693222
37972,4157,18.6459497021,73.7662336975
24144,3630,18.614707303099998,73.8169133663
13853,2255,18.5100022088,73.8340432942
35822,4089,18.6251859353,73.7855288386
13067,2094,18.4878902205,73.9515522122
31827,3465,18.5859191981,73.7349470705
13902,2542,18.4984430934,73.9620339498
34429,3741,18.5992140759,73.72896306220001
16639,2908,18.5466856854,73.9215349406
31454,3291,18.6114132952,73.749621436
18255,2880,18.563901,73.917701
12284,2121,18.507838,73.926084
14186,2337,18.519519,73.931078
29932,3199,18.5813035479,73.7614942342
27527,3331,18.5618668065,73.7859653682
19605,3212,18.4290911155,73.7557874992
5398,1085,18.460943,73.912319
13842,2336,18.5181391594,73.83578337729999
7202,1260,18.482132273,73.87648824600001
32536,3480,18.594601010399998,73.7386810407
25432,3799,18.5953683,73.8029629
31753,3462,18.5911089539,73.7480919063
15939,2480,18.496705788499998,73.8223787025
23368,2879,18.542710756199998,73.78053624180001
26811,3179,18.5615963286,73.7836526334
36844,3976,18.644455019400002,73.7556151673
6464,1171,18.478894217,73.9017264917
12877,2407,18.5005441151,73.95203936850001
23129,3534,18.5996710222,73.9083894342
28171,3395,18.5616217554,73.791651316
11708,2184,18.5005085048,73.9422855154
26444,2931,18.568939765,73.7652456388
21944,3467,18.5810022742,73.8189481571
17059,2835,18.5503878014,73.9403777942
33481,3633,18.5929555676,73.7369184941
17667,2814,18.5610887441,73.9146946371
24923,3776,18.5980640784,73.8045071438
27005,3205,18.560874,73.78645
17118,2340,18.4979047978,73.7875696644
26381,3989,18.614053082,73.8005401567
20243,2804,18.511205576,73.803165704
31030,3381,18.5912306639,73.7410943583
34579,3991,18.6129966003,73.78453139220001
12234,2107,18.4699413084,73.8305215538
16742,2835,18.5441564269,73.92822470520001
6344,1258,18.461831326400002,73.9204345644
22013,3488,18.5811405169,73.8183168322
26828,3217,18.5642791588,73.7802552804
13623,2175,18.5021503873,73.83561406279999
19227,2644,18.514520594500002,73.7825549394
31399,3428,18.5886432755,73.7385737523
12415,2207,18.535265422000002,73.8761492819
12481,2068,18.512348846600002,73.8458466902
7099,1406,18.4587000623,73.858218044
16479,2663,18.5389290043,73.9125686511
26325,4001,18.5823986797,73.9896399155
25714,3864,18.616530466300002,73.8030507043
4081,743,18.4693965632,73.88924047350001
21521,3385,18.565300663800002,73.800413087
18100,2909,18.573655225499998,73.883754015
18184,2847,18.5739657288,73.88816792520001
17610,2715,18.5649961835,73.9071257785
36254,4032,18.6286404381,73.7851231545
25701,3821,18.5987777832,73.797754012
34815,4014,18.5936511806,73.799223192
32930,3546,18.5912243083,73.73988199979999
16342,2797,18.5338075963,73.8290493563
38052,4159,18.650165240299998,73.7663768604
31701,3449,18.5864406913,73.736022301
8980,1526,18.4862472474,73.8575733081
20853,3232,18.5554549961,73.79518982020001
24640,3675,18.5872192736,73.7802308053
7344,1453,18.4568726701,73.8532583043
23960,3688,18.6033421186,73.81614390760001
28583,3421,18.5645655,73.7980232
23659,2881,18.5438913246,73.775885962
5556,1012,18.4772743711,73.8949686661
30937,3358,18.5911216651,73.7404566631
13376,2260,18.5177096535,73.8442695513
7663,1522,18.456994793699998,73.85085001590001
21214,3318,18.5830819418,73.8250250369
5034,945,18.4782048145,73.8902369142
13291,2275,18.503061301,73.927702345
13204,2293,18.5100667489,73.9279427379
14720,2362,18.5376473157,73.9000162482
24239,2995,18.544253058800003,73.7822159752
36291,3955,18.6334864092,73.7858037651
30987,3374,18.591556388599997,73.7407483533
15618,2436,18.4982720345,73.81397198890001
13888,2318,18.5270456785,73.851454854
14442,2375,18.5393158613,73.875144124
7098,1341,18.4511489839,73.8473473862
18097,2863,18.5623629466,73.9170868322
30923,3437,18.5958765512,73.7636765465
7372,1451,18.4571881558,73.8531852141
29303,4007,18.640026805399998,73.8497838378
36270,3957,18.6328916708,73.7845256925
14704,2399,18.5053902293,73.82483426479999
19415,2610,18.520526696300003,73.7771761045
8863,1483,18.507515328900002,73.8791211694
37786,4091,18.65198,73.7609657
13896,2355,18.5266568863,73.8515071571
15122,2420,18.4588431743,73.7838051841
27366,4027,18.6407806806,73.8062854484
18583,2882,18.5732427034,73.8826935366
32531,3710,18.597202607899998,73.77417739479999
32472,3550,18.583663,73.729539
19072,3023,18.570339,73.915614
11700,1858,18.501572042,73.8580339774
13931,2292,18.5190560283,73.8452669978
22143,3429,18.5965521328,73.90830527989999
7255,1507,18.4519199133,73.8514783233
9058,1707,18.476175703699997,73.93149532380001
14296,2356,18.516950783,73.8339420408
10119,1739,18.461094152,73.8211650029
18127,2836,18.5616153987,73.92004296180001
25078,3793,18.622983824000002,73.8204136491
8526,1440,18.4762685581,73.8624941558
7120,1407,18.454466754200002,73.85323416439999
5350,985,18.4766323432,73.89401346449999
6750,1247,18.4812180682,73.90213385220001
18580,3213,18.5515063351,73.9483442903
12637,2163,18.506372344000003,73.9305394515
24163,3768,18.5748158756,73.98267958310001
30420,4111,18.6579292442,73.776049912
20420,3312,18.572861326199998,73.9573524892
28159,3207,18.572713,73.773087
26830,3261,18.555156,73.783505
24202,3530,18.587697,73.783659
25312,2954,18.556494353199998,73.7677394226
30891,3538,18.598055816400002,73.7637727708
33068,3629,18.5940817665,73.7334919721
14226,2346,18.5198444554,73.9306460693
31482,3423,18.6085497729,73.75171925869999
9001,1678,18.481384,73.932866
32635,3656,18.5985099059,73.7744566798
12157,2094,18.4697097998,73.83120786399999
18996,3202,18.5547697162,73.9530066401
8808,1645,18.4739675,73.9315977
7185,1422,18.4543449469,73.8526340202
13918,2386,18.5258595894,73.8509033248
18324,2816,18.5587173482,73.9066889137
32012,3427,18.6045066973,73.75914093109999
18132,2873,18.5626146712,73.91688600180001
65197,7762,18.407123,73.50633
8731,1487,18.5060960552,73.8761432469
33826,3804,18.5971628867,73.7897868454
17206,2870,18.5505251154,73.9413242787
8198,1666,18.456595983499998,73.8465893269
32926,3683,18.5882727375,73.7845716253
25912,3794,18.6287370221,73.8031315058
13839,2243,18.5080555019,73.8351356238
15687,2912,18.5271493139,73.9541348442
24773,3712,18.5977174,73.8058949
15651,2622,18.5219881322,73.8293514401
30356,4108,18.659783391199998,73.77656959
9459,1753,18.462801287999998,73.8378594071
27527,3331,18.5618445581,73.78595765680001
30499,3397,18.5978854928,73.7616132572
